Step L2_Error H1_Error
0 1.1589159979514245 3.321622610092163
10 0.9144572851607723 3.146348237991333
20 0.9560276655398695 3.1847565174102783
30 0.9767560082128554 3.184907913208008
40 0.9555738120564709 3.141246795654297
50 0.9278441281285953 3.0708255767822266
60 0.9019927143441347 2.992872953414917
70 0.8700339924541178 2.8813974857330322
80 0.8121855597954246 2.6997733116149902
90 0.7238888106470777 2.417356252670288
100 0.5705924850644457 1.936080813407898
110 0.3580582558716861 1.3613648414611816
120 0.45280745280009616 1.4969037771224976
130 0.3820905769264875 1.3045276403427124
140 0.2833743714423212 0.9912045001983643
150 0.20037659934573002 0.7060455083847046
160 0.22861198355664977 0.7420466542243958
170 0.3204824540514978 1.0641202926635742
180 0.2938944471990669 1.000093936920166
190 0.224548616667524 0.7676892876625061
