Step L2_Error H1_Error
0 0.8204405908652304 3.2208008766174316
10 1.0614047411758099 3.368884563446045
20 0.9790390117125193 3.2407829761505127
30 0.9596464092705601 3.2183802127838135
40 0.976122330989766 3.2124595642089844
50 0.9622328411473896 3.172874689102173
60 0.9384120029332358 3.1166396141052246
70 0.9142966611279538 3.0399398803710938
80 0.8820320534778128 2.941894769668579
90 0.8349660927325729 2.7878756523132324
100 0.7596827448585365 2.568197727203369
110 0.6481093454338344 2.2168450355529785
120 0.4863530336577523 1.7544933557510376
130 0.31611211186479754 1.3934345245361328
140 0.6442507258882512 2.2243692874908447
150 0.7100445511679659 2.435457468032837
160 0.6815299328966548 2.330376625061035
170 0.5961641833723657 2.0464882850646973
180 0.4484406321904962 1.6311718225479126
190 0.29996759803306805 1.2134681940078735
200 0.16086733221542518 0.903806209564209
210 0.120099105494486 0.8344917893409729
220 0.09948936370567577 0.7981866002082825
230 0.08884113763022901 0.7867980599403381
240 0.08420852396428896 0.7722958922386169
250 0.08266003018233173 0.7654263973236084
260 0.08143861360926637 0.7506265044212341
270 0.07966513025540423 0.7456976175308228
280 0.07791518757424366 0.7380012273788452
290 0.07712786061903162 0.7262026071548462
300 0.07519749922716239 0.7212417721748352
310 0.07373956280755285 0.7155100107192993
320 0.07258949173942988 0.7060850858688354
330 0.07097025556898895 0.6941453218460083
340 0.06971781652227431 0.6848829388618469
350 0.06753033077779169 0.6743911504745483
360 0.06611285458643548 0.6663801670074463
370 0.06451569449760398 0.6574268937110901
380 0.06330533962579651 0.6471115350723267
390 0.0617591019724952 0.640960693359375
400 0.05982079789570159 0.625651478767395
410 0.05930394896583084 0.626718282699585
420 0.05946980044859176 0.6212336421012878
430 0.05953350250798077 0.6205132007598877
440 0.06005281056965594 0.6150861978530884
450 0.061370409577754935 0.6124637722969055
460 0.06115482760632432 0.6059517860412598
470 0.06172328477256605 0.6089630722999573
480 0.06105018897690734 0.601640522480011
490 0.06057856130255736 0.5986776351928711
500 0.06054233390272496 0.5958271622657776
510 0.05979424155070019 0.588264524936676
520 0.05973036055043266 0.5842462778091431
530 0.05942780856565729 0.581180989742279
540 0.05905760534354524 0.5771767497062683
550 0.05845156317365498 0.5744984149932861
560 0.05747464146625691 0.5722131133079529
570 0.05731104272604408 0.5679372549057007
580 0.057133797124983156 0.5663896799087524
590 0.05672271352113573 0.5581141114234924
