Step L2_Error H1_Error
0 1.095828844222546 3.3906471729278564
10 0.9454829447911948 3.204862356185913
20 0.9565248645258388 3.213416576385498
30 0.9761462195598567 3.2195637226104736
40 0.9703641320016438 3.194183111190796
50 0.9495856832027242 3.1474008560180664
60 0.9248568758455132 3.0570108890533447
70 0.8889065005585146 2.948786497116089
80 0.8240185555615609 2.7589192390441895
90 0.7174263038138262 2.426300525665283
100 0.5392580573778937 1.865610957145691
110 0.5903673211624622 1.971073031425476
120 0.6021083373125189 2.04258394241333
130 0.5103294024285207 1.7697679996490479
140 0.32556854573831523 1.2934279441833496
150 0.15426717561810885 0.8741854429244995
160 0.1661849681077585 0.9870389103889465
170 0.8112172725464998 2.6667866706848145
180 0.8521027230225645 2.8484959602355957
190 0.8130014258367035 2.7318809032440186
200 0.7423995001097256 2.501457691192627
210 0.6961629838741463 2.3495872020721436
220 0.6282076996680501 2.1375696659088135
230 0.550182435244083 1.9078806638717651
240 0.4613747576055438 1.6350476741790771
250 0.3668322364473118 1.372024655342102
260 0.2717612100653144 1.118803858757019
270 0.18630979303756878 0.9167554378509521
280 0.1223192275361877 0.801003634929657
290 0.08774654495362554 0.7493742108345032
300 0.07639639195425496 0.7326686382293701
310 0.07424028373795716 0.7269250154495239
320 0.07251664793038308 0.713268518447876
330 0.07152027028239438 0.7079732418060303
340 0.0698129251507741 0.7007090449333191
350 0.06898081303177972 0.6945152878761292
360 0.06769845204874213 0.684127926826477
370 0.06611075380901082 0.6795278787612915
380 0.06470909286631871 0.6670433878898621
390 0.06351996211483023 0.6615085601806641
400 0.06285230887349492 0.6579107046127319
410 0.061315403174393844 0.6522690653800964
420 0.0607690900958719 0.646808922290802
430 0.060161507018976046 0.6396514177322388
440 0.05951694401245058 0.6413239240646362
450 0.0591303313308378 0.6332482695579529
460 0.05842936267924898 0.6275891065597534
470 0.05751543193334283 0.6231796741485596
480 0.05677127599444991 0.6216183304786682
490 0.056395480868077934 0.6187819242477417
500 0.05528837926488225 0.6121663451194763
510 0.05460700396262102 0.606572151184082
