Step L2_Error H1_Error
0 0.9167819102085458 3.2637064456939697
10 1.0817865955846813 3.454061269760132
20 1.0350313489049459 3.362687110900879
30 0.9902274130243768 3.2918732166290283
40 0.9828781344465141 3.248029947280884
50 0.9765854348349047 3.2199785709381104
60 0.9581533474928136 3.162379503250122
70 0.930396762330424 3.0837998390197754
80 0.8875426064365 2.948848247528076
90 0.8151065525564148 2.7249505519866943
100 0.6900391196192844 2.3497281074523926
110 0.42917744480146675 1.6714208126068115
120 0.6327089783453783 2.108938217163086
130 0.6448198728282355 2.2023959159851074
140 0.5599864516415314 1.9624569416046143
150 0.41061954604207557 1.5161951780319214
160 0.2276166930115436 1.0189381837844849
170 0.10256384621923127 0.8023214340209961
180 0.45595533896167306 1.6174992322921753
190 0.4849826598461512 1.7337266206741333
200 0.39910389938550694 1.4523457288742065
210 0.31307397147427496 1.2221055030822754
220 0.22183240241419117 0.9771808385848999
230 0.14508631302709982 0.8232412338256836
240 0.0948827481973904 0.7333117723464966
250 0.07467173408048172 0.7002869844436646
260 0.06981902758586751 0.6888760924339294
270 0.06802609016708111 0.678879976272583
280 0.06685950276974582 0.6693976521492004
290 0.06617907364628 0.6670888662338257
300 0.06513573812480543 0.651711106300354
310 0.0638469872581097 0.6431485414505005
320 0.062128764505000614 0.6304023265838623
330 0.060555602345259 0.6238523721694946
340 0.05937268492054801 0.6157647967338562
350 0.05733231039272676 0.6055600047111511
360 0.05591613479207794 0.594559907913208
370 0.05455789675891335 0.5886236429214478
380 0.053038105428066674 0.5765862464904785
390 0.051043043142981484 0.5673313736915588
400 0.04989381899034568 0.5594026446342468
410 0.0490696481545056 0.5509378910064697
420 0.04778819383393546 0.543552041053772
430 0.04696422490163682 0.5404960513114929
440 0.046106315317894775 0.5357227921485901
450 0.045095075583613545 0.5335808396339417
460 0.044773624091413756 0.532518208026886
470 0.04386129909591103 0.5262500643730164
480 0.04357576833599833 0.5256718993186951
490 0.04282981856677307 0.5184223055839539
500 0.04236056092825042 0.5181335806846619
510 0.04239888396379361 0.5191820859909058
520 0.04110447936572613 0.5110854506492615
530 0.04114243060679416 0.5090448260307312
540 0.04050152851696599 0.5053802132606506
550 0.03990712676698162 0.5005735158920288
560 0.039616026464153506 0.4954667389392853
